address,avgspeed,carport,lat,lon,pk,totalvol,time
西園路2段68號前,21,6,25.031664,121.49699,VGKCG40,15,2015-11-20 02:46:22.103
南京東路2段98號中央分隔島(往東,0,3,25.051996,121.531597,VLRJX20,0,2015-11-20 02:46:22.103
鄭州路81號對面橋下,46,2,25.049624,121.511958,VLXFX20,19,2015-11-20 02:46:22.103
明水路604號對面人行道上,42,4,25.081787,121.550991,VT9NN00,7,2015-11-20 02:46:22.103
建國南路二段市立圖書館前,54,2,25.029137,121.538082,VFVKW40,6,2015-11-20 02:46:22.103
信義路(新生至建國,22,3,25.033563,121.536082,VHMKV20,4,2015-11-20 02:46:22.103
市民大道四段169號對面橋下,38,2,25.044474,121.550993,VK6P820,18,2015-11-20 02:46:22.103
忠孝東路七段487巷對面,26,2,25.052556,121.611417,VLY4920,1,2015-11-20 02:46:22.103
和平東路二段134號之4號前,57,2,25.02479,121.544266,VFQM660,10,2015-11-20 02:46:22.103
重慶南路一段法務部對面人行道,33,4,25.036748,121.51246,VHYFT00,3,2015-11-20 02:46:22.103
市民麥二,48,2,25.051468,121.570825,V6120C0,41,2015-11-20 02:46:22.103
忠孝東路五段416號前,41,3,25.041088,121.57491,VJCTT60,25,2015-11-20 02:46:22.103
羅斯福路上匝道,62,1,25.016685,121.543824,V2321G0,4,2015-11-20 02:46:22.103
基隆路(永吉-松隆,35,3,25.044956,121.566585,VJVRL40,27,2015-11-20 02:46:22.103
離汀州路三段24巷上游約48公尺,64,3,25.009997,121.530885,V42A0D0,31,2015-11-20 02:46:22.103
泉州街入口匝道起點,51,1,25.023662,121.511246,V4261E0,7,2015-11-20 02:46:22.103
仁愛路四段-國父紀念館門口旁,56,2,25.03773056,121.5590917,VIKPW61,5,2015-11-20 02:46:22.103
復興北路168號前,40,6,25.0537,121.54368,VMQMV00,25,2015-11-20 02:46:22.103
辛亥隧道中段,57,2,25.01284722,121.5546222,VDENZ00,15,2015-11-20 02:46:22.103
離富民街上游60公尺,41,3,25.017995,121.500777,V4230B0,12,2015-11-20 02:46:22.103
華中橋東端,55,2,25.022879,121.491604,V4080G0,7,2015-11-20 02:46:22.103
水源快往中正橋方向出口旁,57,1,25.02049,121.52449,VE7GH40,9,2015-11-20 02:46:22.103
吉林路新生北路3段25巷口,41,2,25.064512,121.529871,VPLJF00,7,2015-11-20 02:46:22.103
和平西路一段77號前,21,4,25.026825,121.518086,VG8IK60,8,2015-11-20 02:46:22.103
民權上與長春上匝道,88,3,25.063663,121.537301,V1230E0,45,2015-11-20 02:46:22.103
和平西路二段150-1號前,12,2,25.032797,121.505765,VHHEF20,1,2015-11-20 02:46:22.103
頂湖入口,0,2,25.173857,121.538318,V9FKW40,0,2015-11-20 02:46:22.103
龍江路53號前,23,2,25.049523,121.54049,VLQLI00,14,2015-11-20 02:46:22.103
市民大道一段與中山北路口往西146M處(橋下,18,2,25.048173,121.519008,VKVHI20,8,2015-11-20 02:46:22.103
承德路七段與承德路七段166巷口對面人行道,42,4,25.113485,121.507683,V36F660,27,2015-11-20 02:46:22.103
大度路二段貴子坑溪堤防往西約300M,59,3,25.121963,121.483016,V5B2R60,21,2015-11-20 02:46:22.103
健康路國軍松山醫院 側門左側人行道,34,2,25.054603,121.555904,VM7PP00,5,2015-11-20 02:46:22.103
長安西路158號前,42,2,25.051091,121.516038,VLKGF40,11,2015-11-20 02:46:22.103
中華路二段386號前,37,2,25.028631,121.504984,VG7EQ00,15,2015-11-20 02:46:22.103
林森北路487號前,37,1,25.060852,121.525693,VNKIG40,21,2015-11-20 02:46:22.103
忠誠路二段126號前,51,6,25.113824,121.531888,V37JI40,10,2015-11-20 02:46:22.103
民權東路四段36號(軍營左側,46,3,25.061541,121.552318,VNZQA20,19,2015-11-20 02:46:22.103
松仁-松高 往北,52,6,25.040001,121.568711,VIVS602,40,2015-11-20 02:46:22.103
忠孝橋下與忠孝橋上匝道,70,2,25.038998,121.49588,V5260E0,42,2015-11-20 02:46:22.103
仁愛四段-基隆一段往東,36,4,25.037619,121.558989,VIKQP20,4,2015-11-20 02:46:22.103
辛亥路5段53號前,52,2,24.997496,121.552408,VAGPE40,5,2015-11-20 02:46:22.103
長安上與忠孝下匝道,85,3,25.047107,121.536991,V1250E0,37,2015-11-20 02:46:22.103
建國北路一段71號前,28,3,25.051189,121.536801,VLAKQ20,16,2015-11-20 02:46:22.103
松江/新生南路一段(忠孝-仁愛,21,2,25.040099,121.532824,VJWJ700,1,2015-11-20 02:46:22.103
離永福橋上游50公尺,65,2,25.015829,121.525659,V4040H1,18,2015-11-20 02:46:22.103
經貿出入,66,2,25.063546,121.614195,V6170C1,8,2015-11-20 02:46:22.103
環河北路三段與葫蘆街口槽化島上,46,3,25.082718,121.507635,VU8EF00,23,2015-11-20 02:46:22.103
港墘路149號對面人行道上,53,2,25.077614,121.575328,VSKTL00,4,2015-11-20 02:46:22.103
